Gene	0	5	15	30	60	120	180	240	300	360
aceB	0	-0.394	-0.106	-0.03	0.221	0.683	0.652	0.53	0.633	0.571
aceA	0	-0.181	0.105	0.267	0.539	0.893	0.711	0.59	0.372	0.35
aceK	0	-0.248	0.005	0.139	0.297	0.675	0.6	0.647	0.561	0.554
acs	0	1.305	1.35	1.22	1.328	0.851	1.12	1.26	1.275	1.42
gatD	0	0.434	0.267	0.222	0.596	0.651	0.753	1.009	1.26	1.12
gatA	0	0.383	0.232	0.107	0.497	0.857	0.981	0.963	1.14	1.01
gatC	0	0.521	0.305	0.208	0.449	0.742	0.94	1.049	1.076	1.11
sucD	0	-0.083	-0.489	-0.542	-0.212	0.257	0.585	0.654	0.878	0.887
sucC	0	0.047	-0.319	-0.276	-0.117	0.511	0.786	0.825	0.837	0.71
sdhB	0	-0.032	-0.22	-0.139	0.042	0.663	0.795	0.785	0.779	0.743
sdhA	0	0.013	-0.086	-0.063	0.132	0.699	0.896	0.881	0.796	0.764
sucB	0	-0.039	-0.354	-0.286	-0.183	0.438	0.634	0.671	0.629	0.661
livJ	0	-0.292	-0.78	-1.185	-1.077	-0.675	-0.348	-0.063	-0.011	0.045
aroM	0	0.068	0.211	0.289	0.417	0.587	0.415	0.338	0.332	0.29
mdh	0	-0.017	-0.147	-0.391	-0.371	-0.075	0.151	0.351	0.24	0.402
livK	0	-0.31	-0.626	-0.71	-0.746	-0.621	-0.361	-0.203	-0.11	0.033
ilvH	0	-0.134	-0.183	-0.182	-0.116	-0.145	-0.047	-0.089	-0.021	0.034
cysM	0	-0.179	-0.237	-0.247	-0.017	0.17	0.244	0.108	0.076	0.151
cyoA	0	-0.168	-0.289	-0.238	-0.367	-0.281	0.007	0.099	0.159	0.181
guaB	0	-0.866	-0.908	-0.979	-0.806	-0.452	-0.108	-0.14	-0.202	-0.25
pstS	0	-0.195	-0.172	-0.161	-0.001	0.024	0.132	0.07	0.17	0.249
nuoH	0	0.024	0.072	0.181	0.289	0.4	0.377	0.371	0.393	0.321
ilvB	0	0.295	0.94	0.783	0.567	0.015	0.055	-0.071	-0.146	-0.16
narH	0	0.059	0.111	0.229	0.431	0.325	0.251	0.17	0.133	0.09
lrp	0	-0.304	-0.37	-0.727	-0.672	-0.623	-0.337	-0.248	-0.156	-0.076
gatY	0	0.634	0.479	0.394	0.608	0.73	0.928	0.746	0.918	0.878
nuoJ	0	0.017	0.029	0.071	0.15	0.348	0.307	0.331	0.385	0.338
gltA	0	-0.198	-0.358	-0.391	-0.097	0.224	0.426	0.415	0.494	0.449
tnaL	0	-0.087	-0.083	-0.115	-0.019	0.02	0.188	0.214	-0.002	0.49
dapA	0	-0.507	-0.588	-0.592	-0.473	-0.131	0.064	-0.03	0.017	0.011
ugpE	0	0.343	0.578	0.57	0.457	0.137	-0.016	-0.063	-0.186	-0.161
nuoE	0	0.072	0.022	0.112	0.244	0.29	0.382	0.359	0.384	0.361
nrfE	0	0.097	0.121	0.147	-0.023	-0.069	-0.017	-0.04	-0.018	-0.001
cyoB	0	-0.261	-0.671	-0.602	-0.68	-0.518	-0.132	0.069	0.065	0.109
rfaF	0	-0.202	-0.213	-0.171	-0.163	-0.09	-0.019	-0.136	0.097	0.012
nuoA	0	0.172	0.185	0.196	0.29	0.182	0.347	0.271	0.31	0.323
surA	0	0.118	-0.029	0.004	0.027	-0.064	-0.049	0.01	-0.098	-0.052
nuoF	0	0.015	-0.002	0.023	0.138	0.205	0.281	0.272	0.251	0.269
narY	0	0.079	0.122	0.243	0.486	0.619	0.338	0.323	0.123	0.121
proP	0	-0.012	0.031	-0.015	0.002	-0.164	-0.162	-0.248	-0.084	-0.2
adhE	0	0.087	0.093	0.08	0.298	0.3	0.14	0.026	-0.104	-0.135
narI	0	-0.015	0.045	-0.026	0.092	0.138	0.044	-0.006	-0.079	-0.088
pykF	0	-0.035	0.15	0.159	0.255	0.202	-0.049	-0.125	-0.285	-0.333
rpoD	0	0.154	0.062	0.082	0.128	0.054	0.041	-0.087	-0.08	-0.033
pstC	0	-0.044	-0.028	-0.032	-0.004	-0.069	-0.066	-0.037	0.217	-0.042
rpoE	0	0.521	0.324	0.422	0.363	0.354	0.178	0.106	-0.181	-0.117
arcA	0	0.389	0.487	0.438	0.419	0.162	0	-0.001	-0.028	-0.013
cysA	0	0.366	0.266	0.207	0.383	0.565	0.339	0.351	0.221	0.178
aroG	0	-0.731	-0.776	-0.724	-0.851	-0.669	-0.553	-0.445	-0.536	-0.459
ugpB	0	0.923	0.924	0.983	0.685	0.304	0.052	-0.034	-0.062	-0.134
serA	0	-0.692	-1.185	-0.837	-0.968	-0.385	-0.371	-0.432	-0.529	-0.513
glgP	0	0.043	-0.198	-0.342	-0.375	-0.34	-0.427	-0.337	-0.497	-0.365
kbl	0	0.044	0.101	0.041	0.172	0.149	0.012	0.041	0.113	0.141
purM	0	-0.688	-0.698	-0.654	-0.596	-0.254	-0.114	-0.062	-0.13	-0.056
phoR	0	0.052	0.095	0.103	0.133	0.148	0.069	0.045	-0.085	-0.041
rseC	0	0.051	0.035	0.003	-0.052	0.009	-0.058	-0.009	-0.131	-0.069
mdoH	0	-0.036	-0.018	0.076	-0.067	-0.231	-0.252	-0.146	-0.198	-0.162
cysK	0	0.236	0.055	-0.024	0.192	0.367	0.363	0.361	0.216	0.321
tyrR	0	-0.018	0.147	0.159	0.085	-0.005	-0.188	-0.139	-0.296	-0.114
cysH	0	0.097	0.201	0.077	0.451	0.707	0.649	0.551	0.436	0.408
aroP	0	-0.375	-0.314	-0.333	-0.352	-0.404	-0.37	-0.266	-0.378	-0.112
glgS	0	0.289	0.633	0.705	0.444	0.444	0.234	0.237	0.035	0.039
purA	0	-0.508	-0.866	-0.889	-0.677	-0.054	-0.192	-0.155	-0.079	-0.138
purK	0	-0.293	-0.297	-0.442	-0.37	-0.114	0.032	0.041	0.004	-0.077
leuC	0	-0.359	-0.997	-0.981	-0.731	-0.631	-0.593	-0.472	-0.423	-0.256
leuA	0	-0.761	-1.007	-1.026	-0.855	-0.825	-0.539	-0.511	-0.551	-0.521
leuB	0	-0.577	-0.867	-0.764	-0.807	-0.677	-0.501	-0.381	-0.389	-0.369
trpA	0	-0.03	-0.645	-0.627	-0.601	-0.526	-0.488	-0.442	-0.476	-0.546
trpC	0	-0.445	-0.682	-0.797	-0.535	-0.226	-0.579	-0.41	-0.508	-0.188
aroF	0	-0.163	-0.036	-0.095	-0.133	0.275	0.056	-0.042	-0.153	-0.214
tyrA	0	-0.43	-0.279	-0.223	-0.261	0.178	-0.073	-0.176	-0.394	-0.359
uspA	0	0.008	-0.226	-0.281	-0.346	-0.27	-0.194	-0.14	0.04	0.065
fabA	0	0.417	0.402	0.256	0.075	0.088	0.153	0.173	0.179	0.237
iclR	0	-0.158	-0.173	-0.107	-0.118	-0.075	-0.082	0.027	-0.107	-0.065
epd	0	-0.146	-0.011	-0.026	-0.001	-0.086	-0.197	-0.172	-0.289	-0.266
aidB	0	0.087	0.143	0.218	0.221	0.22	0.126	0.067	0.064	0.017
